city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;order_for_place;place_type;state
Itamaraju;2915601;1;1,55072;2020-03-30;;0,0;64486,0;True;2;city;BA
Itororó;2917102;1;4,90629;2020-03-30;;0,0;20382,0;True;2;city;BA
Jequié;2918001;1;0,64117;2020-03-30;;0,0;155966,0;True;8;city;BA
Juazeiro;2918407;2;0,92291;2020-03-30;;0,0;216707,0;True;8;city;BA
Lauro de Freitas;2919207;12;6,04717;2020-03-30;;0,0;198440,0;True;12;city;BA
Nova Soure;2922904;1;3,71099;2020-03-30;;0,0;26947,0;True;1;city;BA
Pojuca;2925204;1;2,53043;2020-03-30;;0,0;39519,0;True;2;city;BA
Porto Seguro;2925303;10;6,72558;2020-03-30;;0,0;148686,0;True;15;city;BA
Prado;2925501;3;10,64812;2020-03-30;;0,0;28174,0;True;14;city;BA
Salvador;2927408;117;4,07332;2020-03-30;0,0085;1,0;2872347,0;True;17;city;BA
São Domingos;2928950;1;11,03996;2020-03-30;;0,0;9058,0;True;6;city;BA
Teixeira de Freitas;2931350;1;0,6231;2020-03-30;;0,0;160487,0;True;7;city;BA
;29;176;1,18335;2020-03-30;0,0057;1,0;14873064,0;True;23;state;BA
Aquiraz;2301000;14;17,44092;2020-03-30;;0,0;80271,0;True;14;city;CE
Beberibe;2302206;1;1,86661;2020-03-30;;0,0;53573,0;True;1;city;CE
Caucaia;2303709;1;0,2767;2020-03-30;;0,0;361400,0;True;3;city;CE
Fortaleza;2304400;353;13,22423;2020-03-30;0,0142;5,0;2669342,0;True;14;city;CE
Fortim;2304459;1;6,06796;2020-03-30;;0,0;16480,0;True;11;city;CE
Importados/Indefinidos;;0;;2020-03-30;;0,0;;True;12;city;CE
Itaitinga;2306256;1;2,63296;2020-03-30;;0,0;37980,0;True;2;city;CE
Juazeiro do Norte;2307304;1;0,36469;2020-03-30;;0,0;274207,0;True;11;city;CE
Maracanaú;2307650;1;0,43882;2020-03-30;;0,0;227886,0;True;2;city;CE
Maranguape;2307700;1;0,77533;2020-03-30;;0,0;128978,0;True;4;city;CE
Mauriti;2308104;1;2,08498;2020-03-30;;0,0;47962,0;True;7;city;CE
Quixadá;2311306;2;2,27977;2020-03-30;;0,0;87728,0;True;3;city;CE
Sobral;2312908;5;2,39309;2020-03-30;;0,0;208935,0;True;12;city;CE
;23;382;4,18306;2020-03-30;0,0131;5,0;9132078,0;True;15;state;CE
Brasília;5300108;312;10,34734;2020-03-30;0,0064;2,0;3015268,0;True;23;city;DF
;53;312;10,34734;2020-03-30;0,0064;2,0;3015268,0;True;23;state;DF
Cachoeiro de Itapemirim;3201209;1;0,47853;2020-03-30;;0,0;208972,0;True;11;city;ES
Cariacica;3201308;3;0,78681;2020-03-30;;0,0;381285,0;True;11;city;ES
Castelo;3201407;1;2,66425;2020-03-30;;0,0;37534,0;True;5;city;ES
Guarapari;3202405;1;0,8009;2020-03-30;;0,0;124859,0;True;3;city;ES
Importados/Indefinidos;;1;;2020-03-30;;0,0;;True;7;city;ES
Itapemirim;3202801;1;2,91138;2020-03-30;;0,0;34348,0;True;3;city;ES
Linhares;3203205;4;2,30474;2020-03-30;;0,0;173555,0;True;12;city;ES
Santa Teresa;3204609;1;4,23908;2020-03-30;;0,0;23590,0;True;8;city;ES
São Mateus;3204906;1;0,76563;2020-03-30;;;130611,0;True;2;city;ES
São Roque do Canaã;3204955;1;8,05477;2020-03-30;;0,0;12415,0;True;4;city;ES
Serra;3205002;13;2,51203;2020-03-30;;0,0;517510,0;True;8;city;ES
Vila Velha;3205200;31;6,27736;2020-03-30;;0,0;493838,0;True;12;city;ES
Vitória;3205309;26;7,1804;2020-03-30;;0,0;362097,0;True;12;city;ES
;32;85;2,11514;2020-03-30;;0,0;4018650,0;True;26;state;ES
Águas Lindas de Goiás;5200258;1;0,47072;2020-03-30;;0,0;212440,0;True;3;city;GO
Anápolis;5201108;4;1,0338;2020-03-30;;0,0;386923,0;True;14;city;GO
Aparecida de Goiânia;5201405;2;0,34591;2020-03-30;;0,0;578179,0;True;12;city;GO
Catalão;5205109;1;0,91892;2020-03-30;;0,0;108823,0;True;9;city;GO
Goianésia;5208608;1;1,42686;2020-03-30;;0,0;70084,0;True;3;city;GO
Goiânia;5208707;35;2,30854;2020-03-30;;0,0;1516113,0;True;18;city;GO
Hidrolândia;5209705;1;4,60702;2020-03-30;;0,0;21706,0;True;4;city;GO
Importados/Indefinidos;;0;;2020-03-30;;0,0;;True;11;city;GO
Itumbiara;5211503;2;1,90945;2020-03-30;;0,0;104742,0;True;1;city;GO
Jataí;5211909;2;1,98251;2020-03-30;;0,0;100882,0;True;12;city;GO
Luziânia;5212501;1;0,48008;2020-03-30;1,0;1,0;208299,0;True;6;city;GO
Rio Verde;5218805;7;2,97054;2020-03-30;;0,0;235647,0;True;18;city;GO
Silvânia;5220603;1;4,83209;2020-03-30;;0,0;20695,0;True;6;city;GO
Valparaíso de Goiás;5221858;2;1,18717;2020-03-30;;0,0;168468,0;True;7;city;GO
;52;60;0,8549;2020-03-30;0,0167;1,0;7018354,0;True;19;state;GO
São Luís;2111300;30;2,72261;2020-03-30;0,0333;1,0;1101884,0;True;11;city;MA
;21;30;0,42402;2020-03-30;0,0333;1,0;7075181,0;True;11;state;MA
Belo Horizonte;3106200;163;6,48867;2020-03-30;0,0061;1,0;2512070,0;True;14;city;MG
Betim;3106705;5;1,13807;2020-03-30;;0,0;439340,0;True;8;city;MG
Boa Esperança;3107109;1;2,49209;2020-03-30;;0,0;40127,0;True;5;city;MG
Bom Despacho;3107406;1;1,97609;2020-03-30;;0,0;50605,0;True;8;city;MG
Campo Belo;3111200;1;1,85086;2020-03-30;;0,0;54029,0;True;4;city;MG
Campos Altos;3111507;1;6,46789;2020-03-30;;0,0;15461,0;True;8;city;MG
Carmo do Cajuru;3114204;1;4,44879;2020-03-30;;0,0;22478,0;True;4;city;MG
Contagem;3118601;5;0,75318;2020-03-30;;0,0;663855,0;True;8;city;MG
Coronel Fabriciano;3119401;1;0,91029;2020-03-30;;0,0;109855,0;True;13;city;MG
Curvelo;3120904;1;1,24799;2020-03-30;;0,0;80129,0;True;1;city;MG
Divinópolis;3122306;9;3,77786;2020-03-30;;0,0;238230,0;True;21;city;MG
Extrema;3125101;1;2,76052;2020-03-30;;0,0;36225,0;True;2;city;MG
Governador Valadares;3127701;2;0,71458;2020-03-30;;0,0;279885,0;True;5;city;MG
Guimarânia;3128907;1;12,43936;2020-03-30;;0,0;8039,0;True;4;city;MG
Importados/Indefinidos;;3;;2020-03-30;;0,0;;True;9;city;MG
Ipatinga;3131307;1;0,37964;2020-03-30;;0,0;263410,0;True;17;city;MG
Juiz de Fora;3136702;13;2,28522;2020-03-30;;0,0;568873,0;True;15;city;MG
Lagoa da Prata;3137205;2;3,83399;2020-03-30;;0,0;52165,0;True;8;city;MG
Mariana;3140001;2;3,29359;2020-03-30;;0,0;60724,0;True;10;city;MG
Muriaé;3143906;1;0,91943;2020-03-30;;0,0;108763,0;True;2;city;MG
Nova Lima;3144805;19;20,0234;2020-03-30;;0,0;94889,0;True;13;city;MG
Patrocínio;3148103;1;1,10184;2020-03-30;;0,0;90757,0;True;15;city;MG
Poços de Caldas;3151800;2;1,19476;2020-03-30;;0,0;167397,0;True;10;city;MG
Sabará;3156700;3;2,20032;2020-03-30;;0,0;136344,0;True;4;city;MG
Santa Luzia;3157807;1;0,45634;2020-03-30;;0,0;219134,0;True;2;city;MG
São João del Rei;3162500;2;2,2202;2020-03-30;;0,0;90082,0;True;5;city;MG
Serra do Salitre;3166808;1;8,63409;2020-03-30;;0,0;11582,0;True;2;city;MG
Sete Lagoas;3167202;2;0,83459;2020-03-30;;0,0;239639,0;True;13;city;MG
Timóteo;3168705;1;1,11307;2020-03-30;;0,0;89842,0;True;8;city;MG
Uberaba;3170107;3;0,89879;2020-03-30;;0,0;333783,0;True;10;city;MG
Uberlândia;3170206;10;1,44654;2020-03-30;;0,0;691305,0;True;13;city;MG
Unaí;3170404;1;1,18514;2020-03-30;;0,0;84378,0;True;1;city;MG
;31;261;1,23295;2020-03-30;0,0038;1,0;21168791,0;True;22;state;MG
Batayporã;5002001;3;26,48071;2020-03-30;;0,0;11329,0;True;4;city;MS
Campo Grande;5002704;36;4,01794;2020-03-30;;0,0;895982,0;True;17;city;MS
Dourados;5003702;2;0,89707;2020-03-30;;0,0;222949,0;True;3;city;MS
Ponta Porã;5006606;1;1,08078;2020-03-30;;0,0;92526,0;True;10;city;MS
Rio Verde de Mato Grosso;5007406;1;5,06432;2020-03-30;;0,0;19746,0;True;4;city;MS
Sidrolândia;5007901;1;1,73415;2020-03-30;;0,0;57665,0;True;12;city;MS
;50;44;1,58331;2020-03-30;;0,0;2778986,0;True;17;state;MS
Cuiabá;5103403;12;1,95903;2020-03-30;;0,0;612547,0;True;7;city;MT
Nova Monte Verde;5108956;1;10,89562;2020-03-30;;0,0;9178,0;True;5;city;MT
Rondonópolis;5107602;3;1,29037;2020-03-30;;0,0;232491,0;True;1;city;MT
Várzea Grande;5108402;2;0,70183;2020-03-30;;0,0;284971,0;True;6;city;MT
;51;18;0,51658;2020-03-30;;0,0;3484466,0;True;8;state;MT
Ananindeua;1500800;4;0,75387;2020-03-30;;0,0;530598,0;True;6;city;PA
Belém;1501402;13;0,87088;2020-03-30;;0,0;1492745,0;True;13;city;PA
Castanhal;1502400;1;0,49803;2020-03-30;;0,0;200793,0;True;5;city;PA
Itaituba;1503606;1;0,98768;2020-03-30;;0,0;101247,0;True;5;city;PA
Marabá;1504208;1;0,35798;2020-03-30;;0,0;279349,0;True;8;city;PA
Parauapebas;1505536;1;0,48014;2020-03-30;;0,0;208273,0;True;3;city;PA
;15;21;0,2441;2020-03-30;;0,0;8602865,0;True;13;state;PA
Campina Grande;2504009;2;0,48813;2020-03-30;;;409731,0;True;4;city;PB
Igaracy;2502607;1;16,34788;2020-03-30;;;6117,0;True;8;city;PB
João Pessoa;2507507;11;1,35968;2020-03-30;;;809015,0;True;19;city;PB
Sousa;2516201;1;1,44001;2020-03-30;;;69444,0;True;4;city;PB
;25;15;0,37331;2020-03-30;;0,0;4018127,0;True;19;state;PB
Belo Jardim;2601706;1;1,30823;2020-03-30;;;76439,0;True;12;city;PE
Camaragibe;2603454;1;0,6336;2020-03-30;;;157828,0;True;4;city;PE
Caruaru;2604106;1;0,27692;2020-03-30;;;361118,0;True;8;city;PE
Fernando de Noronha;2605459;1;32,66906;2020-03-30;;;3061,0;True;4;city;PE
Goiana;2606200;1;1,25379;2020-03-30;1,0;1,0;79758,0;True;4;city;PE
Importados/Indefinidos;;5;;2020-03-30;0,2;1,0;;True;14;city;PE
Jaboatão dos Guararapes;2607901;6;0,85434;2020-03-30;;;702298,0;True;12;city;PE
Olinda;2609600;5;1,27394;2020-03-30;;;392482,0;True;9;city;PE
Palmares;2610004;1;1,58103;2020-03-30;;;63250,0;True;1;city;PE
Petrolina;2611101;2;0,57283;2020-03-30;;;349145,0;True;8;city;PE
Recife;2611606;52;3,1597;2020-03-30;0,0769;4,0;1645727,0;True;16;city;PE
São Lourenço da Mata;2613701;1;0,88316;2020-03-30;;;113230,0;True;3;city;PE
;26;77;0,80569;2020-03-30;0,0779;6,0;9557071,0;True;19;state;PE
Parnaíba;2207702;1;0,65326;2020-03-30;1,0;1,0;153078,0;True;2;city;PI
São José do Divino;2210052;1;18,70557;2020-03-30;1,0;1,0;5346,0;True;3;city;PI
Teresina;2211001;16;1,85004;2020-03-30;0,125;2,0;864845,0;True;10;city;PI
;22;18;0,54992;2020-03-30;0,2222;4,0;3273227,0;True;10;state;PI
Almirante Tamandaré;4100400;2;1,68601;2020-03-30;;0,0;118623,0;True;1;city;PR
Campo Largo;4104204;3;2,27269;2020-03-30;;0,0;132002,0;True;14;city;PR
Campo Mourão;4104303;2;2,10839;2020-03-30;;0,0;94859,0;True;6;city;PR
Cascavel;4104808;8;2,43565;2020-03-30;0,125;1,0;328454,0;True;8;city;PR
Castro;4104907;1;1,39891;2020-03-30;;0,0;71484,0;True;2;city;PR
Cianorte;4105508;7;8,47252;2020-03-30;;0,0;82620,0;True;17;city;PR
Colombo;4105805;0;;2020-03-30;;0,0;243726,0;True;9;city;PR
Contenda;4106209;1;5,38097;2020-03-30;;0,0;18584,0;True;2;city;PR
Curitiba;4106902;77;3,98323;2020-03-30;;0,0;1933105,0;True;17;city;PR
Faxinal;4107603;1;5,79677;2020-03-30;;0,0;17251,0;True;6;city;PR
Foz do Iguaçu;4108304;10;3,86799;2020-03-30;;0,0;258532,0;True;13;city;PR
Guaíra;4108809;2;6,03883;2020-03-30;;0,0;33119,0;True;11;city;PR
Guarapuava;4109401;1;0,55095;2020-03-30;;0,0;181504,0;True;4;city;PR
Importados/Indefinidos;;5;;2020-03-30;;0,0;;True;9;city;PR
Iretama;4110805;1;9,83381;2020-03-30;;0,0;10169,0;True;4;city;PR
Londrina;4113700;7;1,22865;2020-03-30;;0,0;569733,0;True;14;city;PR
Marechal Cândido Rondon;4114609;1;1,88879;2020-03-30;;0,0;52944,0;True;2;city;PR
Maringá;4115200;8;1,88828;2020-03-30;0,25;2,0;423666,0;True;13;city;PR
Mariópolis;4115309;1;15,12859;2020-03-30;;0,0;6610,0;True;3;city;PR
Matinhos;4115705;1;2,88018;2020-03-30;;0,0;34720,0;True;1;city;PR
Medianeira;4115804;1;2,1646;2020-03-30;;0,0;46198,0;True;2;city;PR
Paranavaí;4118402;2;2,26311;2020-03-30;;0,0;88374,0;True;7;city;PR
Pato Branco;4118501;2;2,4131;2020-03-30;;0,0;82881,0;True;10;city;PR
Peabiru;4118808;1;7,1449;2020-03-30;;0,0;13996,0;True;2;city;PR
Pinhais;4119152;3;2,27003;2020-03-30;;0,0;132157,0;True;10;city;PR
Ponta Grossa;4119905;3;0,85291;2020-03-30;;0,0;351736,0;True;10;city;PR
Quatiguá;4120705;1;13,42462;2020-03-30;;0,0;7449,0;True;3;city;PR
Rio Branco do Sul;4122206;1;3,08671;2020-03-30;;0,0;32397,0;True;1;city;PR
Rio Negro;4122305;1;2,92654;2020-03-30;;0,0;34170,0;True;4;city;PR
São José dos Pinhais;4125506;1;0,30927;2020-03-30;;0,0;323340,0;True;2;city;PR
Telêmaco Borba;4127106;1;1,26624;2020-03-30;;0,0;78974,0;True;7;city;PR
Terra Rica;4127304;1;5,95628;2020-03-30;;0,0;16789,0;True;2;city;PR
Umuarama;4128104;2;1,79281;2020-03-30;;0,0;111557,0;True;10;city;PR
União da Vitória;4128203;1;1,73862;2020-03-30;;0,0;57517,0;True;4;city;PR
;41;160;1,39934;2020-03-30;0,0187;3,0;11433957,0;True;17;state;PR
Angra dos Reis;3300100;1;0,49071;2020-03-30;;0,0;203785,0;True;1;city;RJ
Barra Mansa;3300407;1;0,54226;2020-03-30;;0,0;184412,0;True;18;city;RJ
Belford Roxo;3300456;2;0,39146;2020-03-30;;0,0;510906,0;True;5;city;RJ
Campos dos Goytacazes;3301009;1;0,19703;2020-03-30;;0,0;507548,0;True;7;city;RJ
Duque de Caxias;3301702;5;0,54372;2020-03-30;;0,0;919596,0;True;7;city;RJ
Guapimirim;3301850;1;1,65243;2020-03-30;;0,0;60517,0;True;12;city;RJ
Itaboraí;3301900;3;1,24692;2020-03-30;;0,0;240592,0;True;4;city;RJ
Mangaratiba;3302601;1;2,24881;2020-03-30;;0,0;44468,0;True;3;city;RJ
Maricá;3302700;1;0,62032;2020-03-30;;0,0;161207,0;True;2;city;RJ
Miguel Pereira;3302908;1;3,91573;2020-03-30;1,0;1,0;25538,0;True;11;city;RJ
Niterói;3303302;47;9,15138;2020-03-30;0,0213;1,0;513584,0;True;15;city;RJ
Nova Iguaçu;3303500;7;0,85249;2020-03-30;;0,0;821128,0;True;3;city;RJ
Petrópolis;3303906;4;1,30637;2020-03-30;0,25;1,0;306191,0;True;10;city;RJ
Queimados;3304144;1;0,66525;2020-03-30;;0,0;150319,0;True;1;city;RJ
Resende;3304201;2;1,52275;2020-03-30;;0,0;131341,0;True;6;city;RJ
Rio Bonito;3304300;2;3,3222;2020-03-30;0,5;1,0;60201,0;True;1;city;RJ
Rio das Ostras;3304524;2;1,32737;2020-03-30;;0,0;150674,0;True;2;city;RJ
Rio de Janeiro;3304557;553;8,23051;2020-03-30;0,0235;13,0;6718903,0;True;17;city;RJ
São Gonçalo;3304904;7;0,64526;2020-03-30;;0,0;1084839,0;True;8;city;RJ
São João de Meriti;3305109;1;0,21168;2020-03-30;;0,0;472406,0;True;1;city;RJ
Seropédica;3305554;1;1,21489;2020-03-30;;0,0;82312,0;True;2;city;RJ
Teresópolis;3305802;1;0,54766;2020-03-30;;0,0;182594,0;True;1;city;RJ
Valença;3306107;1;1,3068;2020-03-30;;0,0;76523,0;True;6;city;RJ
Volta Redonda;3306305;11;4,02913;2020-03-30;0,0909;1,0;273012,0;True;7;city;RJ
;33;657;3,8054;2020-03-30;0,0274;18,0;17264943,0;True;18;state;RJ
Açu;2400208;1;1,72363;2020-03-30;;0,0;58017,0;True;2;city;RN
Apodi;2401008;1;2,78979;2020-03-30;;0,0;35845,0;True;1;city;RN
Caicó;2402006;2;2,94325;2020-03-30;;0,0;67952,0;True;2;city;RN
Carnaubais;2402501;1;9,29454;2020-03-30;;0,0;10759,0;True;1;city;RN
Importados/Indefinidos;;2;;2020-03-30;;0,0;;True;2;city;RN
Luís Gomes;2407005;1;9,88533;2020-03-30;;0,0;10116,0;True;1;city;RN
Macaíba;2407104;1;1,23775;2020-03-30;;0,0;80792,0;True;2;city;RN
Monte Alegre;2407807;1;4,45414;2020-03-30;;0,0;22451,0;True;2;city;RN
Mossoró;2408003;16;5,38036;2020-03-30;0,0625;1,0;297378,0;True;8;city;RN
Natal;2408102;36;4,07184;2020-03-30;;0,0;884122,0;True;13;city;RN
Parnamirim;2403251;10;3,82455;2020-03-30;;0,0;261469,0;True;9;city;RN
Passa e Fica;2409100;1;7,53182;2020-03-30;;0,0;13277,0;True;2;city;RN
São Gonçalo do Amarante;2412005;2;1,95312;2020-03-30;;0,0;102400,0;True;2;city;RN
São José de Mipibu;2412203;1;2,27796;2020-03-30;;0,0;43899,0;True;2;city;RN
Tibau;2411056;1;24,3546;2020-03-30;;0,0;4106,0;True;2;city;RN
;24;77;2,1957;2020-03-30;0,013;1,0;3506853,0;True;13;state;RN
Jaru;1100114;1;1,93143;2020-03-30;;0,0;51775,0;True;1;city;RO
Ji-Paraná;1100122;1;0,77538;2020-03-30;;0,0;128969,0;True;10;city;RO
Porto Velho;1100205;6;1,13305;2020-03-30;0,1667;1,0;529544,0;True;9;city;RO
;11;8;0,45014;2020-03-30;0,125;1,0;1777225,0;True;10;state;RO
Boa Vista;1400100;13;3,25641;2020-03-30;;0,0;399213,0;True;10;city;RR
Bonfim;1400159;3;24,176;2020-03-30;;0,0;12409,0;True;7;city;RR
;14;16;2,64131;2020-03-30;;0,0;605761,0;True;10;state;RR
Alvorada;4300604;2;0,951;2020-03-30;;0,0;210305,0;True;12;city;RS
Anta Gorda;4300703;2;33,43922;2020-03-30;;0,0;5981,0;True;7;city;RS
Bagé;4301602;15;12,38206;2020-03-30;;0,0;121143,0;True;12;city;RS
Bento Gonçalves;4302105;2;1,66038;2020-03-30;;0,0;120454,0;True;11;city;RS
Cachoeira do Sul;4303004;1;1,21653;2020-03-30;;0,0;82201,0;True;4;city;RS
Campo Bom;4303905;2;2,99796;2020-03-30;;0,0;66712,0;True;18;city;RS
Canguçu;4304507;1;1,78428;2020-03-30;;0,0;56045,0;True;3;city;RS
Canoas;4304606;8;2,30803;2020-03-30;;0,0;346616,0;True;10;city;RS
Capão da Canoa;4304630;2;3,7701;2020-03-30;;0,0;53049,0;True;8;city;RS
Carlos Barbosa;4304804;1;3,35199;2020-03-30;;0,0;29833,0;True;10;city;RS
Caxias do Sul;4305108;13;2,5445;2020-03-30;;0,0;510906,0;True;16;city;RS
Cerro Grande do Sul;4305173;1;8,1706;2020-03-30;;0,0;12239,0;True;6;city;RS
Charqueadas;4305355;1;2,45164;2020-03-30;;0,0;40789,0;True;10;city;RS
Cruzeiro do Sul;4306205;1;8,09848;2020-03-30;;0,0;12348,0;True;8;city;RS
Dois Irmãos;4306403;1;3,06082;2020-03-30;;0,0;32671,0;True;10;city;RS
Dom Pedrito;4306601;1;2,60004;2020-03-30;;0,0;38461,0;True;6;city;RS
Eldorado do Sul;4306767;1;2,42219;2020-03-30;;0,0;41285,0;True;10;city;RS
Erechim;4307005;3;2,83388;2020-03-30;;0,0;105862,0;True;12;city;RS
Estância Velha;4307609;2;3,99824;2020-03-30;;0,0;50022,0;True;9;city;RS
Estrela;4307807;1;2,93118;2020-03-30;;0,0;34116,0;True;10;city;RS
Farroupilha;4307906;1;1,38253;2020-03-30;;0,0;72331,0;True;12;city;RS
Garibaldi;4308607;1;2,85144;2020-03-30;;0,0;35070,0;True;7;city;RS
Gravataí;4309209;1;0,35522;2020-03-30;;0,0;281519,0;True;6;city;RS
Ivoti;4310801;3;12,34924;2020-03-30;0,3333;1,0;24293,0;True;11;city;RS
Lajeado;4311403;5;5,95139;2020-03-30;;0,0;84014,0;True;10;city;RS
Marau;4311809;1;2,26444;2020-03-30;;0,0;44161,0;True;5;city;RS
Nova Palma;4313102;1;15,35627;2020-03-30;;0,0;6512,0;True;5;city;RS
Novo Hamburgo;4313409;2;0,81054;2020-03-30;0,5;1,0;246748,0;True;2;city;RS
Osório;4313508;1;2,1742;2020-03-30;;0,0;45994,0;True;8;city;RS
Paraí;4314001;1;13,05995;2020-03-30;;0,0;7657,0;True;7;city;RS
Passo Fundo;4314100;1;0,49194;2020-03-30;;0,0;203275,0;True;5;city;RS
Pelotas;4314407;2;0,5841;2020-03-30;;0,0;342405,0;True;6;city;RS
Piratini;4314605;1;4,83957;2020-03-30;;0,0;20663,0;True;5;city;RS
Porto Alegre;4314902;143;9,63761;2020-03-30;0,014;2,0;1483771,0;True;17;city;RS
Rio Grande;4315602;2;0,94784;2020-03-30;;0,0;211005,0;True;8;city;RS
Rolante;4316006;1;4,68406;2020-03-30;;0,0;21349,0;True;5;city;RS
Santa Maria;4316907;2;0,70891;2020-03-30;;0,0;282123,0;True;9;city;RS
Sant'Ana do Livramento;4317103;4;5,19298;2020-03-30;;0,0;77027,0;True;11;city;RS
Santa Rosa;4317202;1;1,36511;2020-03-30;;0,0;73254,0;True;4;city;RS
Santiago;4317400;1;2,02327;2020-03-30;;0,0;49425,0;True;8;city;RS
Santo Antônio da Patrulha;4317608;1;2,33133;2020-03-30;;0,0;42894,0;True;9;city;RS
São Leopoldo;4318705;3;1,2667;2020-03-30;;0,0;236835,0;True;10;city;RS
Sapiranga;4319901;1;1,22348;2020-03-30;;0,0;81734,0;True;13;city;RS
Serafina Corrêa;4320404;3;17,1409;2020-03-30;;0,0;17502,0;True;10;city;RS
Taquara;4321204;1;1,74016;2020-03-30;;0,0;57466,0;True;12;city;RS
Taquari;4321303;1;3,72273;2020-03-30;;0,0;26862,0;True;1;city;RS
Torres;4321501;7;18,07291;2020-03-30;;0,0;38732,0;True;10;city;RS
Viamão;4323002;1;0,39181;2020-03-30;;0,0;255224,0;True;8;city;RS
;43;254;2,23253;2020-03-30;0,0157;4,0;11377239,0;True;18;state;RS
Antônio Carlos;4201208;1;11,74674;2020-03-30;;0,0;8513,0;True;4;city;SC
Balneário Arroio do Silva;4201950;1;7,65052;2020-03-30;;0,0;13071,0;True;6;city;SC
Balneário Camboriú;4202008;9;6,32489;2020-03-30;;0,0;142295,0;True;13;city;SC
Blumenau;4202404;14;3,91938;2020-03-30;;0,0;357199,0;True;9;city;SC
Braço do Norte;4202800;12;35,87444;2020-03-30;;0,0;33450,0;True;16;city;SC
Brusque;4202909;2;1,48453;2020-03-30;;0,0;134723,0;True;3;city;SC
Camboriú;4203204;7;8,43485;2020-03-30;;0,0;82989,0;True;6;city;SC
Canelinha;4203709;1;8,16993;2020-03-30;;0,0;12240,0;True;6;city;SC
Chapecó;4204202;5;2,26894;2020-03-30;;0,0;220367,0;True;11;city;SC
Criciúma;4204608;15;6,97071;2020-03-30;;0,0;215186,0;True;11;city;SC
Florianópolis;4205407;50;9,98058;2020-03-30;;0,0;500973,0;True;19;city;SC
Gaspar;4205902;2;2,87195;2020-03-30;;0,0;69639,0;True;8;city;SC
Gravatal;4206207;3;26,08469;2020-03-30;;0,0;11501,0;True;10;city;SC
Içara;4207007;1;1,77239;2020-03-30;;0,0;56421,0;True;8;city;SC
Imbituba;4207304;5;11,14753;2020-03-30;;0,0;44853,0;True;11;city;SC
Importados/Indefinidos;;8;;2020-03-30;;0,0;;True;6;city;SC
Indaial;4207502;1;1,4404;2020-03-30;;0,0;69425,0;True;2;city;SC
Itajaí;4208203;18;8,19911;2020-03-30;;0,0;219536,0;True;10;city;SC
Itapema;4208302;2;3,06222;2020-03-30;;0,0;65312,0;True;5;city;SC
